make -C bluesim --no-print-directory run
LD_PRELOAD=libSegFault.so SEGFAULT_USE_ALTSTACK=1 SEGFAULT_OUTPUT_NAME=bin/bsimexe-segv-output.txt  ./bin/ubuntu.exe ; retcode=$?; exit $retcode
Start testbench:
XsimTop starting
Request 00000000 464c457f
Request 00000004 00010101
Request 00000008 00000000
Request 0000000c 00000000
Request 00000010 00f30002
Request 00000014 00000001
Request 00000018 00000100
Request 0000001c 00000034
Request 00000020 00001934
Request 00000024 00000000
Request 00000028 00200034
Request 0000002c 00280002
Request 00000030 000f0010
Request 00000034 70000003
Request 00000038 0000119b
Request 0000003c 00000000
Request 00000040 00000000
Request 00000044 00000020
Request 00000048 00000000
Request 0000004c 00000004
Request 00000050 00000001
Request 00000054 00000001
Request 00000058 00000000
Request 0000005c 00000000
Request 00000060 00000000
Request 00000064 00001180
Request 00000068 00001180
Request 0000006c 00000007
Request 00000070 00001000
Request 00000074 00000000
Request 00000078 00000000
Request 0000007c 00000000
Request 00000080 00000000
Request 00000084 00000000
Request 00000088 00000000
Request 0000008c 00000000
Request 00000090 00000000
Request 00000094 00000000
Request 00000098 00000000
Request 0000009c 00000000
Request 000000a0 00000000
Request 000000a4 00000000
Request 000000a8 00000000
Request 000000ac 00000000
Request 000000b0 00000000
Request 000000b4 00000000
Request 000000b8 00000000
Request 000000bc 00000000
Request 000000c0 00000000
Request 000000c4 00000000
Request 000000c8 00000000
Request 000000cc 00000000
Request 000000d0 00000000
Request 000000d4 00000000
Request 000000d8 00000000
Request 000000dc 00000000
Request 000000e0 00000000
Request 000000e4 00000000
Request 000000e8 00000000
Request 000000ec 00000000
Request 000000f0 00000000
Request 000000f4 00000000
Request 000000f8 00000000
Request 000000fc 00000000
Request 00000100 1c40006f
Request 00000104 00000013
Request 00000108 00000013
Request 0000010c 00000013
Request 00000110 00000013
Request 00000114 00000013
Request 00000118 00000013
Request 0000011c 00000013
Request 00000120 00000013
Request 00000124 00000013
Request 00000128 00000013
Request 0000012c 00000013
Request 00000130 00000013
Request 00000134 00000013
Request 00000138 00000013
Request 0000013c 00000013
Request 00000140 0000006f
Request 00000144 00000013
Request 00000148 00000013
Request 0000014c 00000013
Request 00000150 00000013
Request 00000154 00000013
Request 00000158 00000013
Request 0000015c 00000013
Request 00000160 00000013
Request 00000164 00000013
Request 00000168 00000013
Request 0000016c 00000013
Request 00000170 00000013
Request 00000174 00000013
Request 00000178 00000013
Request 0000017c 00000013
Request 00000180 0000006f
Request 00000184 00000013
Request 00000188 00000013
Request 0000018c 00000013
Request 00000190 00000013
Request 00000194 00000013
Request 00000198 00000013
Request 0000019c 00000013
Request 000001a0 00000013
Request 000001a4 00000013
Request 000001a8 00000013
Request 000001ac 00000013
Request 000001b0 00000013
Request 000001b4 00000013
Request 000001b8 00000013
Request 000001bc 00000013
Request 000001c0 1040006f
Request 000001c4 00000013
Request 000001c8 00000013
Request 000001cc 00000013
Request 000001d0 00000013
Request 000001d4 00000013
Request 000001d8 00000013
Request 000001dc 00000013
Request 000001e0 00000013
Request 000001e4 00000013
Request 000001e8 00000013
Request 000001ec 00000013
Request 000001f0 00000013
Request 000001f4 00000013
Request 000001f8 00000013
Request 000001fc 00000013
Request 00000200 00000093
Request 00000204 00000113
Request 00000208 00000193
Request 0000020c 00000213
Request 00000210 00000293
Request 00000214 00000313
Request 00000218 00000393
Request 0000021c 00000413
Request 00000220 00000493
Request 00000224 00000513
Request 00000228 00000593
Request 0000022c 00000613
Request 00000230 00000693
Request 00000234 00000713
Request 00000238 00000793
Request 0000023c 00000813
Request 00000240 00000893
Request 00000244 00000913
Request 00000248 00000993
Request 0000024c 00000a13
Request 00000250 00000a93
Request 00000254 00000b13
Request 00000258 00000b93
Request 0000025c 00000c13
Request 00000260 00000c93
Request 00000264 00000d13
Request 00000268 00000d93
Request 0000026c 00000e13
Request 00000270 00000e93
Request 00000274 00000f13
Request 00000278 00000f93
Request 0000027c 00001197
Request 00000280 70418193
Request 00000284 00001217
Request 00000288 f3b20213
Request 0000028c fc027213
Request 00000290 f1402573
